"issue_id","issue_type","parent_id","epic_id","title","description","sp","priority","sprint","wave","dependencies","status"
"E00","Epic","","E00","Contrato padrao de CRUD/API","contrato API unificado para todos os modulos.","13","P1","Sprint 1","Onda 0","nenhuma","Backlog"
"US-0001","Story","E00","E00","Definir padrao unico para `list`, `save`, `delete`, `export`","","","P1","Sprint 1","Onda 0","nenhuma","Backlog"
"US-0002","Story","E00","E00","Padronizar envelope de erro e metadados de paginacao","","","P1","Sprint 1","Onda 0","nenhuma","Backlog"
"US-0003","Story","E00","E00","Centralizar validacoes comuns e utilitarios","","","P1","Sprint 1","Onda 0","nenhuma","Backlog"
"TSK-0001","Task","E00","E00","Criar padrao de query params (`page`, `per_page`, `q`, `sort`, `order`, `filters`)","","","P1","Sprint 1","Onda 0","nenhuma","Backlog"
"TSK-0002","Task","E00","E00","Definir resposta JSON padrao (`ok`, `data`, `meta`, `error`)","","","P1","Sprint 1","Onda 0","nenhuma","Backlog"
"TSK-0003","Task","E00","E00","Extrair helpers em `api/v1/_bootstrap.php` para reuso","","","P1","Sprint 1","Onda 0","nenhuma","Backlog"
"TSK-0004","Task","E00","E00","Adequar endpoints atuais (`members`, `benefits`, `events`, `posts`, `campaigns`, `permissions`)","","","P1","Sprint 1","Onda 0","nenhuma","Backlog"
"E01","Epic","","E01","Componentes base de tela","UX coerente em todos os CRUDs.","8","P2","Sprint 1","Onda 0","E00","Backlog"
"US-0101","Story","E01","E01","Criar padrao visual de tabela admin","","","P2","Sprint 1","Onda 0","E00","Backlog"
"US-0102","Story","E01","E01","Criar padrao visual de formulario admin","","","P2","Sprint 1","Onda 0","E00","Backlog"
"US-0103","Story","E01","E01","Criar padrao de notificacao/confirmacao de acoes","","","P2","Sprint 1","Onda 0","E00","Backlog"
"TSK-0101","Task","E01","E01","Consolidar classes utilitarias em `assets/css/main.css`","","","P2","Sprint 1","Onda 0","E00","Backlog"
"TSK-0102","Task","E01","E01","Criar partial reutilizavel para toolbar de lista","","","P2","Sprint 1","Onda 0","E00","Backlog"
"TSK-0103","Task","E01","E01","Padronizar modal de confirmacao de exclusao","","","P2","Sprint 1","Onda 0","E00","Backlog"
"TSK-0104","Task","E01","E01","Padronizar feedback de erro de validacao por campo","","","P2","Sprint 1","Onda 0","E00","Backlog"
"E02","Epic","","E02","Menus e navegacao admin","arquitetura de menu pronta para crescimento.","8","P2","Sprint 1","Onda 0","E01","Backlog"
"US-0201","Story","E02","E02","Reestruturar menu para: Dashboard, Associados, Conteudo, Relacionamento, Configuracoes, Governanca","","","P2","Sprint 1","Onda 0","E01","Backlog"
"US-0202","Story","E02","E02","Aplicar visibilidade por permissao em submenu","","","P2","Sprint 1","Onda 0","E01","Backlog"
"US-0203","Story","E02","E02","Incluir placeholders de modulos futuros sem quebrar navegacao","","","P2","Sprint 1","Onda 0","E01","Backlog"
"TSK-0201","Task","E02","E02","Refatorar estrutura em `includes/sidebar.php`","","","P2","Sprint 1","Onda 0","E01","Backlog"
"TSK-0202","Task","E02","E02","Ajustar metadados e rotas em `includes/page_router.php`","","","P2","Sprint 1","Onda 0","E01","Backlog"
"TSK-0203","Task","E02","E02","Atualizar rotas existentes para novos grupos","","","P2","Sprint 1","Onda 0","E01","Backlog"
"TSK-0204","Task","E02","E02","Validar comportamento mobile e colapso de sidebar","","","P2","Sprint 1","Onda 0","E01","Backlog"
"E10","Epic","","E10","Associados CRUD completo","modulo associados operacional de ponta a ponta.","21","P1","Sprint 2-3","Onda 1","E00, E01","Backlog"
"US-1001","Story","E10","E10","Como admin, quero cadastrar associado com todos os campos do PRD","","","P1","Sprint 2-3","Onda 1","E00, E01","Backlog"
"US-1002","Story","E10","E10","Como admin, quero editar e ativar/inativar associado","","","P1","Sprint 2-3","Onda 1","E00, E01","Backlog"
"US-1003","Story","E10","E10","Como admin, quero filtrar e exportar associados","","","P1","Sprint 2-3","Onda 1","E00, E01","Backlog"
"US-1004","Story","E10","E10","Como admin, quero validacao de CPF/email/matricula unicos","","","P1","Sprint 2-3","Onda 1","E00, E01","Backlog"
"TSK-1001","Task","E10","E10","Revisar schema e constraints da tabela de membros","","","P1","Sprint 2-3","Onda 1","E00, E01","Backlog"
"TSK-1002","Task","E10","E10","Implementar `admin_get` e `admin_save` robusto em `api/v1/members.php`","","","P1","Sprint 2-3","Onda 1","E00, E01","Backlog"
"TSK-1003","Task","E10","E10","Implementar `admin_toggle_status` e `admin_export`","","","P1","Sprint 2-3","Onda 1","E00, E01","Backlog"
"TSK-1004","Task","E10","E10","Implementar formulario completo em `frontend/admin/associados.php`","","","P1","Sprint 2-3","Onda 1","E00, E01","Backlog"
"TSK-1005","Task","E10","E10","Implementar mascaras e validacao cliente (CPF/telefone/CEP)","","","P1","Sprint 2-3","Onda 1","E00, E01","Backlog"
"TSK-1006","Task","E10","E10","Integrar busca CEP e fallback manual","","","P1","Sprint 2-3","Onda 1","E00, E01","Backlog"
"TSK-1007","Task","E10","E10","Testar cenarios de duplicidade e mensagens de erro","","","P1","Sprint 2-3","Onda 1","E00, E01","Backlog"
"E11","Epic","","E11","Beneficios consolidado","catalogo e operacao de beneficios consistentes.","13","P2","Sprint 2-3","Onda 1","E00, E01, E10","Backlog"
"US-1101","Story","E11","E11","Como admin, quero CRUD completo de beneficios","","","P2","Sprint 2-3","Onda 1","E00, E01, E10","Backlog"
"US-1102","Story","E11","E11","Como admin, quero ordenar exibicao e ativar/inativar beneficio","","","P2","Sprint 2-3","Onda 1","E00, E01, E10","Backlog"
"US-1103","Story","E11","E11","Como admin, quero vincular beneficios em lote para associados","","","P2","Sprint 2-3","Onda 1","E00, E01, E10","Backlog"
"TSK-1101","Task","E11","E11","Revisar `api/v1/benefits.php` para contrato padrao","","","P2","Sprint 2-3","Onda 1","E00, E01, E10","Backlog"
"TSK-1102","Task","E11","E11","Incluir filtros e exportacao no admin","","","P2","Sprint 2-3","Onda 1","E00, E01, E10","Backlog"
"TSK-1103","Task","E11","E11","Criar acao em lote de vinculacao por filtros","","","P2","Sprint 2-3","Onda 1","E00, E01, E10","Backlog"
"TSK-1104","Task","E11","E11","Ajustar `frontend/admin/beneficios.php` para novo fluxo","","","P2","Sprint 2-3","Onda 1","E00, E01, E10","Backlog"
"E12","Epic","","E12","Eventos com inscritos/exportacao","operacao de eventos pronta para uso admin diario.","13","P2","Sprint 3-4","Onda 1","E00, E01","Backlog"
"US-1201","Story","E12","E12","Como admin, quero CRUD de evento com status de publicacao","","","P2","Sprint 3-4","Onda 1","E00, E01","Backlog"
"US-1202","Story","E12","E12","Como admin, quero listar inscritos e exportar CSV","","","P2","Sprint 3-4","Onda 1","E00, E01","Backlog"
"US-1203","Story","E12","E12","Como admin, quero encerrar evento e bloquear novas inscricoes","","","P2","Sprint 3-4","Onda 1","E00, E01","Backlog"
"TSK-1201","Task","E12","E12","Revisar `api/v1/events.php` com status `draft/published/closed`","","","P2","Sprint 3-4","Onda 1","E00, E01","Backlog"
"TSK-1202","Task","E12","E12","Criar endpoint de exportacao de inscritos","","","P2","Sprint 3-4","Onda 1","E00, E01","Backlog"
"TSK-1203","Task","E12","E12","Ajustar tela `frontend/admin/eventos.php`","","","P2","Sprint 3-4","Onda 1","E00, E01","Backlog"
"TSK-1204","Task","E12","E12","Criar indicadores de vagas usadas/disponiveis","","","P2","Sprint 3-4","Onda 1","E00, E01","Backlog"
"E13","Epic","","E13","Comunicados com segmentacao basica","comunicacao interna segmentada funcional.","13","P2","Sprint 4","Onda 1","E00, E10","Backlog"
"US-1301","Story","E13","E13","Como admin, quero publicar comunicado interno","","","P2","Sprint 4","Onda 1","E00, E10","Backlog"
